Unnamed: 0,Entity,Year,Countries Continents
0,0.0,Abkhazia,2015.0,Asia
1,1.0,Afghanistan,2015.0,Asia
2,2.0,Akrotiri and Dhekelia,2015.0,Asia
3,3.0,Albania,2015.0,Europe
4,4.0,Algeria,2015.0,Africa
5,5.0,American Samoa,2015.0,Oceania
6,6.0,Andorra,2015.0,Europe
7,7.0,Angola,2015.0,Africa
8,8.0,Anguilla,2015.0,North America
9,9.0,Antarctica,2015.0,Antarctica
10,10.0,Antigua and Barbuda,2015.0,North America
11,11.0,Argentina,2015.0,South America
12,12.0,Armenia,2015.0,Asia
13,13.0,Aruba,2015.0,North America
14,14.0,Australia,2015.0,Oceania
15,15.0,Austria,2015.0,Europe
16,16.0,Austria-Hungary,2015.0,Europe
17,17.0,Azerbaijan,2015.0,Asia
18,18.0,Baden,2015.0,Europe
19,19.0,Bahamas,2015.0,North America
20,20.0,Bahrain,2015.0,Asia
21,21.0,Bangladesh,2015.0,Asia
22,22.0,Barbados,2015.0,North America
23,23.0,Bavaria,2015.0,Europe
24,24.0,Belarus,2015.0,Europe
25,25.0,Belgium,2015.0,Europe
26,26.0,Belize,2015.0,North America
27,27.0,Benin,2015.0,Africa
28,28.0,Bermuda,2015.0,North America
29,29.0,Bhutan,2015.0,Asia
30,30.0,Bolivia,2015.0,South America
31,31.0,Bonaire Sint Eustatius and Saba,2015.0,North America
32,32.0,Bosnia and Herzegovina,2015.0,Europe
33,33.0,Botswana,2015.0,Africa
34,34.0,Bouvet Island,2015.0,Antarctica
35,35.0,Brazil,2015.0,South America
36,36.0,British Indian Ocean Territory,2015.0,Asia
37,37.0,British Virgin Islands,2015.0,North America
38,38.0,Brunei,2015.0,Asia
39,39.0,Bulgaria,2015.0,Europe
40,40.0,Burkina Faso,2015.0,Africa
41,41.0,Burundi,2015.0,Africa
42,42.0,Cambodia,2015.0,Asia
43,43.0,Cameroon,2015.0,Africa
44,44.0,Canada,2015.0,North America
45,45.0,Cape Verde,2015.0,Africa
46,46.0,Cayman Islands,2015.0,North America
47,47.0,Central African Republic,2015.0,Africa
48,48.0,Chad,2015.0,Africa
49,49.0,Channel Islands,2015.0,Europe
50,50.0,Chile,2015.0,South America
51,51.0,China,2015.0,Asia
52,52.0,Christmas Island,2015.0,Asia
53,53.0,Cocos Islands,2015.0,Asia
54,54.0,Colombia,2015.0,South America
55,55.0,Comoros,2015.0,Africa
56,56.0,Congo,2015.0,Africa
57,57.0,Cook Islands,2015.0,Oceania
58,58.0,Costa Rica,2015.0,North America
59,59.0,Cote d'Ivoire,2015.0,Africa
60,60.0,Croatia,2015.0,Europe
61,61.0,Cuba,2015.0,North America
62,62.0,Curacao,2015.0,North America
63,63.0,Cyprus,2015.0,Europe
64,64.0,Czechia,2015.0,Europe
65,65.0,Czechoslovakia,2015.0,Europe
66,66.0,Democratic Republic of Congo,2015.0,Africa
67,67.0,Denmark,2015.0,Europe
68,68.0,Djibouti,2015.0,Africa
69,69.0,Dominica,2015.0,North America
70,70.0,Dominican Republic,2015.0,North America
71,71.0,East Germany,2015.0,Europe
72,72.0,Ecuador,2015.0,South America
73,73.0,Egypt,2015.0,Africa
74,74.0,El Salvador,2015.0,North America
75,75.0,Equatorial Guinea,2015.0,Africa
76,76.0,Eritrea,2015.0,Africa
77,77.0,Eritrea and Ethiopia,2015.0,Africa
78,78.0,Estonia,2015.0,Europe
79,79.0,Eswatini,2015.0,Africa
80,80.0,Ethiopia,2015.0,Africa
81,81.0,Faeroe Islands,2015.0,Europe
82,82.0,Falkland Islands,2015.0,South America
83,83.0,Fiji,2015.0,Oceania
84,84.0,Finland,2015.0,Europe
85,85.0,France,2015.0,Europe
86,86.0,French Guiana,2015.0,South America
87,87.0,French Polynesia,2015.0,Oceania
88,88.0,French Southern Territories,2015.0,Antarctica
89,89.0,Gabon,2015.0,Africa
90,90.0,Gambia,2015.0,Africa
91,91.0,Georgia,2015.0,Asia
92,92.0,Germany,2015.0,Europe
93,93.0,Ghana,2015.0,Africa
94,94.0,Gibraltar,2015.0,Europe
95,95.0,Greece,2015.0,Europe
96,96.0,Greenland,2015.0,North America
97,97.0,Grenada,2015.0,North America
98,98.0,Guadeloupe,2015.0,North America
99,99.0,Guam,2015.0,Oceania
100,100.0,Guatemala,2015.0,North America
101,101.0,Guernsey,2015.0,Europe
102,102.0,Guinea,2015.0,Africa
103,103.0,Guinea-Bissau,2015.0,Africa
104,104.0,Guyana,2015.0,South America
105,105.0,Haiti,2015.0,North America
106,106.0,Hanover,2015.0,Europe
107,107.0,Heard Island and McDonald Islands,2015.0,Antarctica
108,108.0,Hesse Electoral,2015.0,Europe
109,109.0,Hesse Grand Ducal,2015.0,Europe
110,110.0,Honduras,2015.0,North America
111,111.0,Hong Kong,2015.0,Asia
112,112.0,Hungary,2015.0,Europe
113,113.0,Iceland,2015.0,Europe
114,114.0,India,2015.0,Asia
115,115.0,Indonesia,2015.0,Asia
116,116.0,Iran,2015.0,Asia
117,117.0,Iraq,2015.0,Asia
118,118.0,Ireland,2015.0,Europe
119,119.0,Isle of Man,2015.0,Europe
120,120.0,Israel,2015.0,Asia
121,121.0,Italy,2015.0,Europe
122,122.0,Jamaica,2015.0,North America
123,123.0,Japan,2015.0,Asia
124,124.0,Jersey,2015.0,Europe
125,125.0,Jordan,2015.0,Asia
126,126.0,Kazakhstan,2015.0,Asia
127,127.0,Kenya,2015.0,Africa
128,128.0,Kiribati,2015.0,Oceania
129,129.0,Kosovo,2015.0,Europe
130,130.0,Kuwait,2015.0,Asia
131,131.0,Kyrgyzstan,2015.0,Asia
132,132.0,Laos,2015.0,Asia
133,133.0,Latvia,2015.0,Europe
134,134.0,Lebanon,2015.0,Asia
135,135.0,Lesotho,2015.0,Africa
136,136.0,Liberia,2015.0,Africa
137,137.0,Libya,2015.0,Africa
138,138.0,Liechtenstein,2015.0,Europe
139,139.0,Lithuania,2015.0,Europe
140,140.0,Luxembourg,2015.0,Europe
141,141.0,Macao,2015.0,Asia
142,142.0,Madagascar,2015.0,Africa
143,143.0,Malawi,2015.0,Africa
144,144.0,Malaysia,2015.0,Asia
145,145.0,Maldives,2015.0,Asia
146,146.0,Mali,2015.0,Africa
147,147.0,Malta,2015.0,Europe
148,148.0,Marshall Islands,2015.0,Oceania
149,149.0,Martinique,2015.0,North America
150,150.0,Mauritania,2015.0,Africa
151,151.0,Mauritius,2015.0,Africa
152,152.0,Mayotte,2015.0,Africa
153,153.0,Mecklenburg Schwerin,2015.0,Europe
154,154.0,Mexico,2015.0,North America
155,155.0,Micronesia (country),2015.0,Oceania
156,156.0,Modena,2015.0,Europe
157,157.0,Moldova,2015.0,Europe
158,158.0,Monaco,2015.0,Europe
159,159.0,Mongolia,2015.0,Asia
160,160.0,Montenegro,2015.0,Europe
161,161.0,Montserrat,2015.0,North America
162,162.0,Morocco,2015.0,Africa
163,163.0,Mozambique,2015.0,Africa
164,164.0,Myanmar,2015.0,Asia
165,165.0,Nagorno-Karabakh,2015.0,Asia
166,166.0,Namibia,2015.0,Africa
167,167.0,Nauru,2015.0,Oceania
168,168.0,Nepal,2015.0,Asia
169,169.0,Netherlands,2015.0,Europe
170,170.0,Netherlands Antilles,2015.0,North America
171,171.0,New Caledonia,2015.0,Oceania
172,172.0,New Zealand,2015.0,Oceania
173,173.0,Nicaragua,2015.0,North America
174,174.0,Niger,2015.0,Africa
175,175.0,Nigeria,2015.0,Africa
176,176.0,Niue,2015.0,Oceania
177,177.0,Norfolk Island,2015.0,Oceania
178,178.0,North Korea,2015.0,Asia
179,179.0,North Macedonia,2015.0,Europe
180,180.0,Northern Cyprus,2015.0,Asia
181,181.0,Northern Mariana Islands,2015.0,Oceania
182,182.0,Norway,2015.0,Europe
183,183.0,Oman,2015.0,Asia
184,184.0,Pakistan,2015.0,Asia
185,185.0,Palau,2015.0,Oceania
186,186.0,Palestine,2015.0,Asia
187,187.0,Panama,2015.0,North America
188,188.0,Papua New Guinea,2015.0,Oceania
189,189.0,Paraguay,2015.0,South America
190,190.0,Parma,2015.0,Europe
191,191.0,Peru,2015.0,South America
192,192.0,Philippines,2015.0,Asia
193,193.0,Pitcairn,2015.0,Oceania
194,194.0,Poland,2015.0,Europe
195,195.0,Portugal,2015.0,Europe
196,196.0,Puerto Rico,2015.0,North America
197,197.0,Qatar,2015.0,Asia
198,198.0,Republic of Vietnam,2015.0,Asia
199,199.0,Reunion,2015.0,Africa
200,200.0,Romania,2015.0,Europe
201,201.0,Russia,2015.0,Europe
202,202.0,Rwanda,2015.0,Africa
203,203.0,Saint Barthélemy,2015.0,North America
204,204.0,Saint Helena,2015.0,Africa
205,205.0,Saint Kitts and Nevis,2015.0,North America
206,206.0,Saint Lucia,2015.0,North America
207,207.0,Saint Martin (French part),2015.0,North America
208,208.0,Saint Pierre and Miquelon,2015.0,North America
209,209.0,Saint Vincent and the Grenadines,2015.0,North America
210,210.0,Samoa,2015.0,Oceania
211,211.0,San Marino,2015.0,Europe
212,212.0,Sao Tome and Principe,2015.0,Africa
213,213.0,Saudi Arabia,2015.0,Asia
214,214.0,Saxony,2015.0,Europe
215,215.0,Senegal,2015.0,Africa
216,216.0,Serbia,2015.0,Europe
217,217.0,Serbia and Montenegro,2015.0,Europe
218,218.0,Serbia excluding Kosovo,2015.0,Europe
219,219.0,Seychelles,2015.0,Africa
220,220.0,Sierra Leone,2015.0,Africa
221,221.0,Singapore,2015.0,Asia
222,222.0,Sint Maarten (Dutch part),2015.0,North America
223,223.0,Slovakia,2015.0,Europe
224,224.0,Slovenia,2015.0,Europe
225,225.0,Solomon Islands,2015.0,Oceania
226,226.0,Somalia,2015.0,Africa
227,227.0,Somaliland,2015.0,Africa
228,228.0,South Africa,2015.0,Africa
229,229.0,South Georgia and the South Sandwich Islands,2015.0,South America
230,230.0,South Korea,2015.0,Asia
231,231.0,South Ossetia,2015.0,Asia
232,232.0,South Sudan,2015.0,Africa
233,233.0,Spain,2015.0,Europe
234,234.0,Sri Lanka,2015.0,Asia
235,235.0,Sudan,2015.0,Africa
236,236.0,Suriname,2015.0,South America
237,237.0,Svalbard and Jan Mayen,2015.0,Europe
238,238.0,Sweden,2015.0,Europe
239,239.0,Switzerland,2015.0,Europe
240,240.0,Syria,2015.0,Asia
241,241.0,Taiwan,2015.0,Asia
242,242.0,Tajikistan,2015.0,Asia
243,243.0,Tanzania,2015.0,Africa
244,244.0,Thailand,2015.0,Asia
245,245.0,Timor,2015.0,Asia
246,246.0,Togo,2015.0,Africa
247,247.0,Tokelau,2015.0,Oceania
248,248.0,Tonga,2015.0,Oceania
249,249.0,Transnistria,2015.0,Europe
250,250.0,Trinidad and Tobago,2015.0,North America
251,251.0,Tunisia,2015.0,Africa
252,252.0,Turkey,2015.0,Asia
253,253.0,Turkmenistan,2015.0,Asia
254,254.0,Turks and Caicos Islands,2015.0,North America
255,255.0,Tuscany,2015.0,Europe
256,256.0,Tuvalu,2015.0,Oceania
257,257.0,Two Sicilies,2015.0,Europe
258,258.0,USSR,2015.0,Europe
259,259.0,Uganda,2015.0,Africa
260,260.0,Ukraine,2015.0,Europe
261,261.0,United Arab Emirates,2015.0,Asia
262,262.0,United Kingdom,2015.0,Europe
263,263.0,United Korea,2015.0,Asia
264,264.0,United States,2015.0,North America
265,265.0,United States Minor Outlying Islands,2015.0,Oceania
266,266.0,United States Virgin Islands,2015.0,North America
267,267.0,Uruguay,2015.0,South America
268,268.0,Uzbekistan,2015.0,Asia
269,269.0,Vanuatu,2015.0,Oceania
270,270.0,Vatican,2015.0,Europe
271,271.0,Venezuela,2015.0,South America
272,272.0,Vietnam,2015.0,Asia
273,273.0,Wallis and Futuna,2015.0,Oceania
274,274.0,West Germany,2015.0,Europe
275,275.0,Western Sahara,2015.0,Africa
276,276.0,Wuerttemburg,2015.0,Europe
277,277.0,Yemen,2015.0,Asia
278,278.0,Yemen Arab Republic,2015.0,Asia
279,279.0,Yemen People's Republic,2015.0,Asia
280,280.0,Yugoslavia,2015.0,Europe
281,281.0,Zambia,2015.0,Africa
282,282.0,Zanzibar,2015.0,Africa
283,283.0,Zimbabwe,2015.0,Africa
284,284.0,Åland Islands,2015.0,Europe
285,285.0,Kingdom of the Netherlands,2022.0,Europe
286,286.0,Soviet Union,2022.0,Europe
287,287.0,Turkish Republic of Northern Cyprus,2022.0,Europe
288,288.0,Socialist Federal Republic of Yugoslavia,2022.0,Europe
289,289.0,British India,2022.0,Asia
290,290.0,Bosnia and Herzegovina,2022.0,Europe
291,291.0,Dominion of India,2022.0,Asia
292,292.0,Mandatory Palestine,2022.0,Asia
293,293.0,England,,Europe
294,294.0,Scotland,,Europe
295,295.0,Wales,,Europe
296,296.0,Northern Ireland,,Europe
297,,England,,Europe
298,,Scotland,,Europe
299,,Wales,,Europe
300,,Northern Ireland,,Europe
